description,claimType
"A leak from the combi boiler which has destroyed one bedroom carpet, plasterwork on the ceiling below and requires redecoration. The water had been turned off at the stop cock pending the fitting of anew boiler. It seems that the only possible explanation is that the stop cock has malfunctioned and allowed water through at times of high pressure",ESCAPEWATER
an attempted break in,BURGLARY
Noticed a water stain in our living room ceiling which is under our ensuite. A pipe must be leaking. The area is wet to the touch after using the shower.,ESCAPEWATER
Power surge that has caused the coffee machine to break. We have tried troubleshooting but it wont work,ADCONTENTS
My engagement ring has been stolen/lost,ADSPECIFIED
A Leak in the bathroom,ESCAPEWATER
Leak in bathroom affecting flats below.,ESCAPEWATER
my engagement ring has been damaged - claw has been sheared off and chunk missing from stone making it irrepairable,ADCONTENTS
"We came back yesterday to find our hot water cylinder has started leaking. We have had an emergency plumber out, and he has shut off the water going to the cylinder",ESCAPEWATER
I knocked my telly of the stand while cleaning. It has a multiple cracks on the screen,ADCONTENTS
"I knocked my telly of the stand wwhile cleaning, which knocked my mobile phone off the side, smashing my phone screen",ADCONTENTS
a neighbours  has lost control of her car and ended up hitting my property resultig in some damage. Please contact me to discus this further. Thankyou,IMPACT
My central heating boiler as stopped working,OTHER
a window on the conservatory has shattered,ADBUILDINGS
I have accidently broken my mobile phone,ADSPECIFIED
Water coming down the dining room wall,ESCAPEWATER
"someone smashed the glass on our rear patio door and accessed the house, stealing electronic goods, keys for the house and car plus, wallets and jewellery",BURGLARY
/burglary and car theft,BURGLARY
"My Samsung Galaxy S7 edge mobile phone fell out of my coat pocket onto the road, while the car was still moving slightly, and now it has completely had it. All the screen is smashed and the lcd screen doesnt work at all. I rang round for a few quotes to get it fixed but its way out of my league, minimum £250.00 and no guarantee it will work again.  Can someone contact me with details of what to do next please. Thank you",ADCONTENTS
Property back fence around the garden has toppled over,STORM
a water leak upstairs,ESCAPEWATER
cracked double glazed window,ADBUILDINGS
"the water pipe that connects to mixer shower up in bathroom broke behind the wall at point of entry into the mixer shower.    Water escaped down the back of the shower wall into the kitchen ceiling below.    With the breakage behind the shower wall, a lot of water continued to escape until it could be shut off.  The valve that feeds the mixer shower is not in an accessible place, it was behind the wall between bathroom and upstairs landing.   The easiest way to get to the valve was to open up the landing way wall space to get into the valve to stop the last of the water continuing into the kitchen.  The water flow was vast and has led to damage in the kitchen ceiling and that then went through onto kitchen floor. The water seems to have also damaged the kitchen floor tiles, which now have grout coming out,movement of tiles and cracking.      The kitchen, and that floor was installed in May/June 2016 so isn't old.     To recap - we have damage to the bathroom where mixer shower connection broke,  the landing hallway wall - to access pipe shut off value, kitchen ceiling below the bathroom, and kitchen floor tiles.  photos can be provided and an inspection is welcome.",ESCAPEWATER
Tennent was carrying a large stainless steel sharp tipped garden shears tripped over the outside step and went into the bottom panel of the double glazed door with the pointed edge of the shears. Bottom double glazed glass shattered.,ADBUILDINGS
water leak from ensuite on floor 1 - has leaked downstairs and damaged the ceiling and walls. Carpet is also wet and stained (by Christmas presents wet and wrapping paper staining) and water damage is all along the ceiling of the living room and potentially may impact neighbours. Not sure if still leaking but concerned about standing water,ESCAPEWATER
I accidently spilt nail varnish on my lounge carpet,ADCONTENTS
"we came back home at 1.30am and found the house had been broken into. The kitchen window at the rear of the house had been smashed and opened. They appear to have taken a dyson v8 total clean vacuum cleaner, all my wifes jewellary and a coin / change tin. We haven't finished tidying up and the police haven't come yet so we can't distrub too much before forensics arrive so more might be missing.",BURGLARY
The snow slid off my roof and buckled the guttering it is hanging off. When it landed on the downstairs roof that covers the bay window it ripped the gutter off.,STORM
Unexpected flood and extensive p[roperty damage,ESCAPEWATER
There has been some sort of water leak which has affected the hallway.  The radiator in the en suite has also leaked.  We are awaiting confirmation from a plumber as to the cause of the leak,ESCAPEWATER
there is a water leak in the roof of the living room from bathroom above,ESCAPEWATER
droppped phone on the floor,ADCONTENTS
broken Screen on Ipad,ADCONTENTS
"Fish tank has leaked and caused water damage to kitchen floor, kitchen island units and hallway carpet - there may be other damage not realised at this time as flooding only happened this morning and we have only just completed cleaning up the water",ESCAPEWATER
Leaking pipe under floor of house that cannot be traced resulting in no heating or hot water,ESCAPEWATER
nail polish spilled on living room carpet,ADCONTENTS
"In the storming the night of 29/12/17, a very large part of a tree (25-30ft) from our neighbours house (12 Coppice walk, London N20, owner Mr M Rosenberg, back fence neighbour), has fallen in to our back garden and onto our shed. There is damage to our shed and fences and we cannot get access to the shed at present to fully understand the extent of the damage. Currently a third of our garden is covered with the tree making the garden unsafe to access, part of this is leaning on to the shed which may be causing further damage to the shed. We wrote to Mr Rosenberg the morning of Saturday 30/12 with a hand delivered letter advising him that it is his responsibility to sort and amend the damage. Mr Rosenberg has responded (by text the evening of 30/12) saying “thank you for your note, i see the branch overhanging your garden has broken, probably in the recent high winds.I could not see damage to your shed, though if there is, this will be a matter for your property  insurance. My gardener is due to visit in January. If you don’t have a gardener, I can ask him to visit if you wish - he’s very good and will be able to cut and clear the tree (and in fact repair any shed damage) - he removed a tree from my front garden recently - I doubt it would cost you more than £150-£200.” This suggests he has not taken any responsibility for the removal of the tree or the damage caused. This tree has been poorly maintained and was also subject to a fire 4 years ago (20/4/13, fire brigade was called out as fire spread in to 3 Gardens), caused by Mr Rosenberg’s negligence when disposing of hot ash leaving it unattended and by the tree in his back garden; this set his tree and our fence alight. The part of the tree that has fallen was damaged through the fire, still clearly showing the damage and scorch marks from the fire & should have been removed at that time. At no time since Mr Rosenberg  has moved in in 2007 has his tree been pruned back and we have a number of large, heavy overhanging branches which may also in future fall in to our garden. This is particularly worrying as the tree has been visibly damaged by the fire with no effort having been made to make this safe. This adds further risk for future storms. Our claim is for the safe removal of the tree and any damage to the shed and fences be made good ASAP. We have taken photos of the damage and tree which we are happy to send to you or you may wish for someone to visit the property.",TREEFALL
Washing machine broken won’t spin and clothes inside still,ADCONTENTS
"we have been away for the xmas period, came back on the 1..1.2018, to find our lounge carpet was soaking wet, we have pulled the carpet back, the underlay is all wet, the boarding underneath is that wet it has started to break as it is only conti board, it has also started to rise up the walls, we are concerned about the electrics as it all runs under the flooring in these types of homes, we have turned the water off but is making no difference. the house is feeling very damp and cold, we left heating on low whilst we was away to prevent burst pipes as this is something we have been advised to do.Can you please contact us as a matter of urgency on 07532811859",ESCAPEWATER
"Accidental damage to electric cable, that has been drilled through",ADBUILDINGS
Both mine and my partners iphones were in my cluth bag on NYE and i dropped my bag. it was open and the contents of my bag fell out smashing both our phones,ADCONTENTS
TV screen accidentally broken,ADCONTENTS
Hall tile flooring spontaneously raised up in a small area and cracked tiles suddenly.  There are now pockets of 'loose' tiles.  We think they are porcelain tiles on concrete.,OTHER
whilst I was upstairs our puppy ate the corner of the cuddle chair from our matching sofa,ADCONTENTS
Diamond ring has been lost.,ADSPECIFIED
I had a burst bolier as I was away overnight and when I came in back the in morning the place was flooded,BURSTPIPE
Came home from work and there is a leak in the living room coming from the bathroom.,ESCAPEWATER
Garden perimeter wall has fallen down overnight. Garden is now exposed to the street.,STORM
water ingress to conservatory following high winds and rain,STORM
water leak from pipes in1st floor bedroom,ESCAPEWATER
Accidental damage to glass induction hob,ADCONTENTS
"Flooding from the roof has made its way into the living room via the ceiling, causing damage.",STORM
There has been a flood via the ceiling in the living room.,ESCAPEWATER
"My freezer broke completely on 15th Dec 2017, 10 days before Christmas. I needed a freezer and I could not find your details to report it to you as I had to go back and search through my email history to find my details of the policy I have with you. I had to go out and buy a new freezer at a cost of £370.98 before Christmas, and I also lost £250 worth of food that I had just bought for the Christmas period.",FREEZER
spillage of gloss paint on to bedroom carpet,ADCONTENTS
storm damage to roof and guttering.,STORM
I have a leak in my kitchen ceiling and the ceiling is bowing and looks like it is about to come through,STORM
roof leaking tiles sliped due to bad wind and rain and has caused damage inside house with plaster,STORM
Away for a few days when i come back water was coming through ceiling burst pipe in wall above at the shower valve,ESCAPEWATER
After the recent storm I've noticed a bulging of the outside wall and there appears to be water getting into the bungalow.,STORM
"On opening the log burner door, a lump of coal fell out and rolled across the harth and onto the carpet, burning the lounge carpet.",ADCONTENTS
over the last few weeks during the cold weather large areas in the patio has bubbled up cause the slabs to be displaced. Affected area is approximately 150m2,SUBSIDENCE
Theft of home contents property,THEFTSPECIFIED
Water leak from electric shower,ESCAPEWATER
"Theft of items away from the home - my Sennheiser MM450 headset and Dragonfly Red external DAC (as well as the adapter that connects them!).  All items were in my headphone case, and they were stolen from the pocket of my coat.  I have contacted the police and am awaiting a crime reference number.",THEFTSPECIFIED
A toy hit the tv and cracked the screen,ADCONTENTS
My MacBook was dropped onto the floor,ADCONTENTS
water pipe in loft has leaked & come through the bedroom ceiling & onto the wardrobe.,ESCAPEWATER
Accidental damage to my bed,ADCONTENTS
We were burgled last week.,BURGLARY
I dropped my Samsung Galaxy Note 8 in the House and the Screen Cracked,ADCONTENTS
a bottle of shampoo has been dropped in the bath and dented it so that water leaks through,ADBUILDINGS
"There has been heavy rain the last couple of days And the exterior walls have blistering in various parts, also two water stain marks on the roof inside the home, not sure if there’s a leak in the roof or Exterior walls.",STORM
I had my Mac book Pro stolen,THEFTSPECIFIED
leak in central heating system,ESCAPEWATER
House drain blockage,BLOCKEDDRAINS
We have had a leak from the waste pipe from the wash basin. I have had the pipe work repaired and the leak has stopped.,ESCAPEWATER
I removed my jewelry whilst at the swimming pool during a stay at centerparcs and put it in to my purse for safe keeping. It is now missing,ADSPECIFIED
I came in from work last night and my phone dropped out my hand onto hallway floor smashing screen.,ADCONTENTS
"House used as ""pop up brothel"" during weekend let and need some advice as to how to proceed claiming, hopefully from Airbnb themselves.",OTHER
Frozen water pipes so unable to draw water,ESCAPEWATER
Golf clothing and equipment has been eaten by rodents while stored in the garage,ADCONTENTS
Leakage from the boiler due to a frozen pipe,BURSTPIPE
I’ve had a burst water pipe in the attic which led to water leaking down into the upstairs toilet bathroom hall way and then down into the kitchen.  All appliances floors walls celinings etc are damaged. This happened at 11pm and has led me to leaving the house and staying with my daughter ..... I am 72 years old  need urgent assistance,BURSTPIPE
my bike has broken beyond repair whilst commuting to work. The frame itself has snapped and I have been advised by the technician at a local bike shop that I need to replace the bike.,ADCONTENTS
damaged/cracked & leaking gutters due to snow & ice with damaged soffits,STORM
Broken water pipe which is coming from boiler,ESCAPEWATER
"During the storm of the 1st March, I lost 4 slates from my roof which slipped onto my extension and smashed further slates. I’ve also lost my fenceto the right hand boundary and the felt has blown off the shed roof.",STORM
some damage has occurred to my roof due to the recent storm. From ground level I can see that several hip tiles have been blown off and landed on the ground and there could be possible damage to the flashing around the chimney and along the ridge of the roof but that will need to be inspected by a roofer.,STORM
"There has been a water leak. We have just called a plumber to stem the leak and an electrician as water is coming through a light fitting. The water is coming through the loft, into a bedroom (the ceiling is bowing) and through the next floor into the kitchen (ceiling also bowing in here).",ESCAPEWATER
"the main water supply from water meter to my house has burst. The water company say it is my problem, not theirs.",ESCAPEWATER
"I woke up this morning to the boiler making four or five quite loud banging noises or more of a clunking if there is such a word and to having no heating,I tried the reset button and it fired up but after approximately two minutes the banging returned and the boiler cut off.i gave it time to cool down as per instructions inside the front cover and then used reset button again with same result,boiler firing up and after two minutes there was the same three or four bangs and the boiler cut out.i didn’t try further as I didn’t want to damage the boiler further.throughout the coldest week we have had for a few years the boiler has been working fine but though I may remain in the house myself tonight I have had to move my eight year old son and five year old daughter out as the temperature has plummeted again this afternoon and one electric fire is insufficient to keep us all warm,we obviously can’t all stay in one room.",BOILER
"I went downstairs into the kitchen (lower ground floor) this morning around 8:30am to find it was filled with water under/behind all my kitchen units and as the kitchen floor slopes slightly, the water had also flooded into my understairs cupboard. I immediately turned the water off at the mains and mopped it all up, only to find it kept flooding almost immediately. I checked with a torch to the best of my ability (removed the kickboards) to try find the source, but to no avail. I couldn't hear any dripping or gushing noises, and my boiler was fine so I was going out of my mind trying to figure out where it was coming from!! When I was outside de-snowing my car, waiting for a plumber to get back to me, the neighbours mentioned that the vacant property next to me, number 35 North Road, had one of their back windows blown open on the ground floor and snow had piled up in the property. It was then realised that perhaps all the snow was leaking somehow into my property from theirs. When two neighbours in my street came to have a look at my flooding, including a plumber, they jumped over the back wall into number 35's garden to look through the window and water was gushing from the ceiling! I called the letting agency immediately and spoke to Paul who was the emergency contact, and he got hold of the landlord/owner. In the time between calling Paul and the landlord arriving, one of my neighbours had dug open his water meter (outside the property and was covered in snow) and managed to turn off the water to his property - turns out one of his pipes had burst and as the property was vacant, he had no idea until I called. We have taken down each other's names and numbers, and he understands he is liable for damages to my kitchen and he will be contacting his insurance company as well.",ESCAPEWATER
"Due to freezing conditions Boiler damaged beyond repair and must be replaced. At least one leak in pipes under lodge, but may be more. Water turned off by plumber until he can replace boiler.",BOILER
I came to the caravan,ESCAPEWATER
Pipes have burst and the boiler as broken,BURSTPIPE
several roof tiles fallen due to weather and also cracked part of guttering,STORM
"There was a leak in the middle ensuite showe and it has caused water damage to ceilings and walls below, I have got somebody to fix the shower leak but need the damage put right",ESCAPEWATER
I came to the caravan,BURSTPIPE
A huge water leak has started,ESCAPEWATER
water leak to boiler,BURSTPIPE
My diamond cross necklace has been lost,ADSPECIFIED
I have had a water leak,ESCAPEWATER
"house broken into, house and car keys stolen, vehicle stolen, possibly other items stolen not yet identified",BURGLARY
Burst water pipe inside van,BURSTPIPE
Burst water pipe in roof. Damage to ceilings,BURSTPIPE
"I have noticed our skirting has started to turn black within our kitchen, utility room and living room (adjoining walls)",ESCAPEWATER
Washing machine flooded ground floor,ESCAPEWATER
"Caravan boiler broken in freeze/snow leaking from hydrolic and inside, have spoken to park maintainence manager advised that tge boilers are discontinued and to contact insurers, the caravan has booked rentals from Monday 12th that I will also lose business from. The caravan was disconnected and full drain at end of November",BURSTPIPE
"In the strong winds 2 weeks ago my empty wheels bin was blown into the side of my house , by the front door , resulting in damage to the skin of the house .",STORM
Flat garage roof damaged and leaking,STORM
"my son knocked his Samsung s8 into the washing up sink on Friday, I have been told by a mobile phone repairer that it is broken and can't be fixed.",ADCONTENTS
Frost damage to central heating boiler system.,BURSTPIPE
The glass of our oven was smashed accidentally by me.,ADBUILDINGS
Loss of Diamond earrings and gold chain,ADSPECIFIED
"While i was working on my laptop last night in the dinning area, my husband shouted for me to come over to our garrage as the cable  of tbe freezer was traped and got broken while he was  moving our freezer around as we are in the process of rearranging the house, as i got up to move, my laptop accidentality droped on the dinning    area floor. The laptop got broken and when try to plug the freezer back on, part of the electricity supply tripped off, the freezer is not working now and it's got a lot if food in it (almost full).",ADSPECIFIED
A leak from upstairs toilet into the hall ceiling,ESCAPEWATER
"This morning , as i was ironing my clothe, the main switches went off, my husband turned the main switch back on, but it will not stay up again.  most of the electrical items ie fridge/ freezer, microwave, dryer and the first floor switches in the house is not working at the moment.",OTHER
"During the recent cold snap, my boiler developed a leak. The bolier fault has been fixed by my caravan park (haven) as it was covered as part of there drain up / down procedures. However the carpet in the lounge are became soaked and had to be pulled to dry the flooring it is smelly and needs replacing",ADCONTENTS
Water leak to toilet,ESCAPEWATER
the ceiling on the ground floor below the bathroom on the 1st floor was found damp this morning and there are some crack on the ceiling as well,ESCAPEWATER
"I have taken my engagement ring off and put it on the side while I was washing up, I then cleaned up all the sides throwing all the used cartons in the bin, I must have picked my ring up and thrown that away by mistake too, I have gone back to the bins and they have already been taken",ADSPECIFIED
removed carpet to dry wooden caravan floor to prevent damage to flooring,ESCAPEWATER
Water leak from upstairs in two places leaving marks on the ceiling - not sure of the exact source,ESCAPEWATER
Fire is still on going. The whole of the ground floor has been damaged and now the fire is traveling upstairs too.,FIRE
"Radiators have burst/popped, 1 in each of two bedrooms, 1 ensuite, 1 living room All leaking and carpet stained. Wet around radiator. Property system was drained in November by Caravan site but not radiators because they have antifreeze. Last at property in November.",BURSTPIPE
Water leaking through the ceiling,ESCAPEWATER
an airbnb guest stole the back cushions of my sofa.,BURGLARY
the shower tray has leaked and it has destroyed the bathroom walls and floor. the tiles will have to be removed to see how badly damaged the floor and walls are but from what we can see two walls and at least half the floor will need replaced.,ESCAPEWATER
"There was a water leak coming from my boiler which, when I called an emergency plumber, required a major part to be replaced. The boiler was last serviced less than 12 months ago.",ESCAPEWATER
"Water turned on from the outside by persons unknown sometime in March after caravan was drained down caused boilerpipes, shower mixer taps, bathroom sink taps and kitchen mixer taps  to burst. Discovered on 30 March when first rentals arrived and turned water on.. Tenants moved to another location so loss of income too.",BURSTPIPE
the waste water pipe from the bath has been leaking and the water has poured onto the kitchen ceiling below which has caused it to partly collapse.,ESCAPEWATER
"I would put something along the lines of during the last two days of heavy rainfall in the area , I have noticed that my bathroom has developed a leak in the ceiling causing damage to bathroom itself . Upon finding this I inspected the roof outside and due to the heavy rainfall this is caused the roof which before was secure and watertight to develop a leak . I have due to the level of water ingress attempted to seal this myself with emergency roof sealant but have had no success. Due to the level of water aver the past two days in my area I am unsure of any further damage caused. This matter is now causing me much stress and anguish due to me being a single parent and have concerns for my family",ESCAPEWATER
"While my husband and our child was moving things around  in the garrage to arrange it, my son ran to  me and inform me in ghe dinning area whete i was wirking on my laptop that my husband needed me as the cable of our freezer is trapped. As i got up suddenly, my laotop fell on the wooden floor and got broken. on getting to the garrage, we noticed the cable of the freezer is broken and damaged. The freezer stoooed working while it was almost full with food. On the fillowing day, i ordered a new freezer so as to save the food but it is still yet to be delivered, leaving all the food spoilt.",FREEZER
The family Ipad has been crushed in between our reclining sofa,ADCONTENTS
Frost damage to boiler. Need for new boiler due to obsolete boiler,BURSTPIPE
my toddler hit our TV with a toy and damaged the LCD screen,ADCONTENTS
TV damaged accidently,ADCONTENTS
My son knocked his high chair over which fell into the tv causing a crack to the middle as I tried to catch the high chair and Tv one of them smashed the face of my watch.,ADCONTENTS
dropped my ap watch and the pusher fell out and broke.,ADCONTENTS
There is a leak from an unknown sauce,ESCAPEWATER
the retaining wall at the end of our back garden callapsed on the private road behind it,STORM
Water leak from bathroon into kitchen,ESCAPEWATER
"Following the period of recent snowfall and adverse weather conditions, damp patches were evident on the upstairs landing ceiling. Following the recent heavy rainfalls in the past week, water has been seen to be running down the interior landing walls soaking the carpet.",STORM
My wife knocked the ironing board and the iron fell onto the carpet and burnt it in the living area. She was unable to pick it up quick enough.,ADCONTENTS
A fire has just broken out at the property,FIRE
that a tin of paint was knocked over on the carpet,ADCONTENTS
My water storage tank seems to have had a small leak on it for some time. Unfortunately on Friday it failed and emptied the contents of the system onto the airing cupboard floor. The water leaked through the ceiling damaging the ceiling in the downstairs bathroom and kitchen. Also due to the ongoing issue all the carpet in the airing cupboard is ruined and they has been some damage to the door frame.,ESCAPEWATER
Water leak from a pipe under the floor boards,ESCAPEWATER
I have a leak in my front room,ESCAPEWATER
I have been Burgeled in the night whilst in the house wih my daughter an armed robbery,BURGLARY
water from bathroom leak dripped through ceiling onto my laptop,ESCAPEWATER
"Telescope fell from tripod/mount, hit a concrete kerb and broke both lense and mirror",ADCONTENTS
The door of my large mirrored bathroom cabinet has fallen off & smashed the sink & bath.,ADCONTENTS
Two bicycles were stollen from secured back garden one of them chained up other in outside sheed,BURGLARY
loss of my solid gold necklace,ADSPECIFIED
Bedroom ceiling leaking due to heavy rain on flat roof,STORM
Back door has been damaged,ADBUILDINGS
My shower is leaking,ESCAPEWATER
Failed joint of copper pipe in loft.,ESCAPEWATER
our TV has broken. It fell off the TV stand. Possibly as a result of my young daughter. I was not in the room at the time.,ADCONTENTS
fire inside the house,FIRE
I dropped my sony vaio laptop at home resulting in damage to the screen graphics.  I took it to 1st Aid and they were unable to fix it.  There was a last resort solution but this still wouldn't guarantee fixing it so suggested buying new computer.,ADCONTENTS
I currently have a blockage in our sewage pipe which I cleared and got diagnosed by a company as a misaligned pipe and have been advised that it will block again if not rectified,BLOCKEDDRAINS
My imac computer screen has smashed,ADCONTENTS
Bournemouth Water have come out to read the meter and suggested there is a mains water leak due to the volume of water recorded. I was advised to phone Bournemouth Water to arrange an inspector visit in the attempt to figure out what the problem is. The Inspector attended the property today and advised that there is a water leak on the mains water supply pipe on the property that needs attention.,BLOCKEDDRAINS
I have lost my engagement ring,ADSPECIFIED
"water leak on outside tap. Water has been escaping just behind the tap, which has now been removed by a plumber as soon as we noticed (yesterday) but the leak has caused damage to the wall, which has gone soft around and just below where the tap was located.",ESCAPEWATER
Estate agent for previous property is disputing who introduced the sale. They’ve sent a solicitors letter suggesting they’ll take us to court for £16k. We don’t believe this is correct,OTHER
I lost my handbag when I went to the park with my daughter and two grandchildren on the 6th may 2018,ADSPECIFIED
I was mugged and my Rolex watch was stolen,THEFTSPECIFIED
we had a water pipe leak in the loft which has caused ceiling damage,ESCAPEWATER
shower has leaked through to the kitchen below!,ESCAPEWATER
Water leaking from the toilet,ESCAPEWATER
Water escaping from pipe,BLOCKEDDRAINS
One of the double glazed panels on the front door of my house was destroyed by a sudden act of vandalism at 05:45 on 12/05/2018. The door is of molded upvc contruction and its function has been seriously compromised.,VANDALISM
The storm water drain at the front of the house is overflowing with sewage,BLOCKEDDRAINS
